city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Махачкала,2019,12,0,0,49,51,5326,5235
Махачкала,2020,3,0,0,34,36,4457,3068
Махачкала,2020,6,0,0,6,11,276,35
Махачкала,2020,9,0,0,6,6,45,33
Махачкала,2020,12,0,0,6,6,23,8
Минеральные Воды,2018,3,3,1,199,201,21946,21900
Минеральные Воды,2018,6,3,4,368,365,59004,60851
Минеральные Воды,2018,9,8,4,451,456,80396,80791
Минеральные Воды,2018,12,3,2,237,238,34543,31227
Минеральные Воды,2019,3,2,0,191,190,21121,22150
Минеральные Воды,2019,6,2,0,365,361,58324,60359
Минеральные Воды,2019,9,1,0,575,568,92362,90697
Минеральные Воды,2019,12,1,1,305,303,44324,40300
Минеральные Воды,2020,3,4,1,182,184,22512,20614
Минеральные Воды,2020,6,7,3,5,4,323,43
Минеральные Воды,2020,9,3,2,33,24,666,409
Минеральные Воды,2020,12,2,3,13,11,145,110
Москва (Внуково) ,2018,3,147,142,5649,5769,536147,533089
Москва (Внуково) ,2018,6,159,149,8032,8175,917097,1021706
Москва (Внуково) ,2018,9,173,149,9518,9777,1364382,1375063
Москва (Внуково) ,2018,12,224,202,7702,7922,893293,942853
Москва (Внуково) ,2019,3,160,145,7023,7197,860930,815313
Москва (Внуково) ,2019,6,135,147,9737,9744,1398950,1518503
Москва (Внуково) ,2019,9,175,166,10974,11224,1966130,1988877
Москва (Внуково) ,2019,12,261,181,8727,8864,1292400,1325457
Москва (Внуково) ,2020,3,328,177.5,4779,4847.5,650565,674368
Москва (Внуково) ,2020,6,395,174,831,831,8730,23279
Москва (Внуково) ,2020,9,440,253,4101,3912,246080,310118
Москва (Внуково) ,2020,12,445,260,5730,4158,266825,335528
Москва (Домодедово),2018,3,201,191,7492,7462,1005251,972932
Москва (Домодедово),2018,6,243,227,10475,10532,1509621,1605275
Москва (Домодедово),2018,9,287,270,12695,12499,2069728,2004758
Москва (Домодедово),2018,12,271,250,7902,7773,1106018,1040152
Москва (Домодедово),2019,3,212,198,6784,6821,961994,883669
Москва (Домодедово),2019,6,194,181,8840,9006,1378001,1460659
Москва (Домодедово),2019,9,178,169,10251,10245,1802664,1732795
Москва (Домодедово),2019,12,187,274,7138,7305,1068130,1086677
Москва (Домодедово),2020,3,270.5,309,3653,3741.5,536617,551296.5
Москва (Домодедово),2020,6,354,344,168,178,5104,15916
Москва (Домодедово),2020,9,448,448,1423,1383,169713,249448
Москва (Домодедово),2020,12,459,460,1611,1572,195220,251848
Москва (Шереметьево),2018,3,1158,1163,16965,16809,2217462,2158743
Москва (Шереметьево),2018,6,1136,1136,19887,19816,2786888,2807789
Москва (Шереметьево),2018,9,1193,1171,22265,22828,3617430,3767520
Москва (Шереметьево),2018,12,1266,1285,21606,21446,2602890,2658391
Москва (Шереметьево),2019,3,1119,1144,18757,18830,2469891,2461041
Москва (Шереметьево),2019,6,1249,1273,21173,21228,3055438,3108367
Москва (Шереметьево),2019,9,1185,1181,22473,22571,3676427,3718485
Москва (Шереметьево),2019,12,1560,1477,19656,19785,2674732,2755687
Москва (Шереметьево),2020,3,776,709,16646,16848,1876717,1605329
Москва (Шереметьево),2020,6,807,717,621,573,33717,24939
Москва (Шереметьево),2020,9,789,727,2006,2050,338754,395862
Москва (Шереметьево),2020,12,873,763,3175,3129,413915,370116
Мурманск,2018,3,0,0,6,7,381,393
Мурманск,2018,6,0,0,54,54,5496,6681
Мурманск,2018,9,0,0,68,67,8515,8735
Мурманск,2018,12,0,0,20,21,2669,1626
Мурманск,2019,3,0,0,9,11,296,323
Мурманск,2019,6,0,0,45,45,4237,5100
Мурманск,2019,9,0,0,59,61,7039,7193
Мурманск,2019,12,0,0,20,20,2506,1642
Мурманск,2020,3,0,0,5,6,161,167
Мурманск,2020,6,0,0,7,7,907,626
Мурманск,2020,9,0,0,8,4,509,180
Мурманск,2020,12,0,0,15,17,1704,663
Нальчик,2018,3,0,0,0,0,0,0
Нальчик,2018,6,0,0,2,2,14,11
Нальчик,2018,9,0,0,0,1,0,9
Нальчик,2018,12,0,0,0,1,0,4
Нальчик,2019,3,0,0,0,0,0,0
Нальчик,2019,6,0,0,18,18,1484,1397
Нальчик,2019,9,0,0,10,10,616,547
Нальчик,2019,12,0,0,1,1,4,20
Нальчик,2020,3,0,0,0,0,4,0
Нальчик,2020,6,0,0,1,1,5,4
Нальчик,2020,9,0,0,0,0,0,0
